tconst	averageRating	numVotes
tt0001340	5.1	95
tt0001351	6.2	57
tt0001358	4.1	23
tt0001370	5.3	24
tt0001371	5.9	395
tt0001377	4.8	27
tt0001378	6.0	208
tt0001380	3.2	11
tt0001381	5.4	37
tt0001385	5.4	69
tt0001386	4.4	18
tt0001387	5.8	29
tt0001388	5.6	81
tt0001396	2.9	17
tt0001400	6.4	17
tt0001401	6.1	27
tt0001407	5.9	19
tt0001410	3.9	17
tt0001414	6.4	61
tt0001423	4.2	13
tt0001428	5.1	51
tt0001431	6.3	728
tt0001432	5.6	27
tt0001439	5.9	253
tt0001440	4.7	20
tt0001443	5.0	16
tt0001444	3.3	32
tt0001446	5.3	17
tt0001452	5.5	201
tt0001454	5.5	30
tt0001456	8.5	17
tt0001458	5.8	188
tt0001459	5.4	57
tt0001460	2.9	17
tt0001461	6.1	25
tt0001463	5.7	1494
tt0001469	5.8	134
tt0001475	7.3	20
tt0001481	5.9	31
tt0001482	5.1	78
tt0001488	6.3	456
tt0001490	4.7	22
tt0001496	4.4	61
tt0001497	7.2	10
tt0001498	7.7	12
tt0001499	5.6	346
tt0001500	5.7	7
tt0001508	5.0	51
tt0001510	5.3	68
tt0001517	5.6	44
tt0001518	5.7	14
tt0001519	5.1	36
tt0001527	7.7	2791
tt0001529	4.0	20
tt0001530	6.0	17
tt0001531	4.6	14
tt0001532	4.7	12
tt0001542	4.0	35
tt0001544	6.0	703
tt0001545	6.0	131
tt0001550	5.5	49
tt0001551	5.2	98
tt0001552	4.8	39
tt0001557	4.8	101
tt0001560	4.1	20
tt0001563	5.8	37
tt0001564	4.1	31
tt0001571	4.4	29
tt0001577	4.4	31
tt0001582	4.4	32
tt0001583	5.6	15
tt0001586	3.8	16
tt0001587	3.8	24
tt0001588	5.4	204
tt0001590	5.6	6
tt0001592	5.5	14
tt0001593	6.2	357
tt0001594	6.3	319
tt0001598	5.7	41
tt0001607	5.6	67
tt0001613	5.2	156
tt0001614	6.1	26
tt0001615	4.9	38
tt0001618	6.1	14
tt0001624	5.0	42
tt0001630	5.8	26
tt0001632	6.4	47
tt0001642	5.2	39
tt0001654	5.3	37
tt0001655	4.0	18
tt0001658	5.5	15
tt0001659	6.6	18
tt0001660	5.7	207
tt0001668	4.2	36
tt0001671	4.8	34
tt0001680	5.1	594
tt0001681	4.8	274
tt0001692	5.3	14
tt0001693	7.1	22
tt0001695	4.8	57
tt0001696	3.7	12
tt0001701	4.6	75
tt0001706	4.5	16
tt0001709	5.6	37
tt0001715	3.1	9
tt0001717	3.4	24
tt0001722	3.7	12
tt0001724	5.8	259
tt0001728	7.7	15
tt0001732	7.1	15
tt0001733	5.2	23
tt0001737	7.1	1654
tt0001738	7.2	57
tt0001740	6.5	1162
tt0001741	4.4	23
tt0001742	5.7	15
tt0001747	4.8	22
tt0001753	5.1	19
tt0001761	4.3	6
tt0001762	4.8	67
tt0001769	5.3	72
tt0001771	5.5	147
tt0001772	5.6	22
tt0001776	6.7	189
tt0001777	5.0	17
tt0001779	7.0	16
tt0001787	8.5	13
tt0001789	6.3	264
tt0001790	6.0	44
tt0001799	4.7	12
tt0001803	4.0	11
tt0001812	6.3	13
tt0001815	6.7	24
tt0001817	5.3	89
tt0001832	5.6	49
tt0001840	4.9	38
tt0001845	5.1	11
tt0001848	4.4	40
tt0001852	4.9	12
tt0001856	4.6	48
tt0001857	5.6	211
tt0001862	5.2	42
tt0001865	6.0	69
tt0001868	5.1	9
tt0001871	4.7	53
tt0001872	7.4	57
tt0001874	7.8	12
tt0001877	5.3	69
tt0001889	4.0	14
tt0001892	5.9	221
tt0001896	5.2	71
tt0001910	5.5	68
tt0001911	4.5	22
tt0001913	5.5	220
tt0001915	5.8	112
tt0001923	7.2	35
tt0001924	4.7	12
